Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,1.604167,1.619792,1.588542,1.604167,0.137918,163200
1962-01-03,1.604167,1.619792,1.588542,1.619792,0.139261,156000
1962-01-04,1.656250,1.708333,1.656250,1.661458,0.142844,355200
1962-01-05,1.661458,1.697917,1.656250,1.677083,0.144187,163200
1962-01-08,1.677083,1.703125,1.666667,1.687500,0.145083,204000
1962-01-09,1.687500,1.718750,1.671875,1.703125,0.146426,290400
1962-01-10,1.703125,1.713542,1.677083,1.682292,0.144635,182400
1962-01-11,1.682292,1.708333,1.666667,1.708333,0.146874,384000
1962-01-12,1.708333,1.739583,1.687500,1.718750,0.147769,352800
1962-01-15,1.718750,1.729167,1.687500,1.713542,0.147321,280800
1962-01-16,1.697917,1.697917,1.677083,1.687500,0.145970,163200
1962-01-17,1.687500,1.708333,1.677083,1.682292,0.145520,160800
1962-01-18,1.682292,1.718750,1.682292,1.718750,0.148673,261600
1962-01-19,1.718750,1.750000,1.687500,1.750000,0.151377,357600
1962-01-22,1.750000,1.770833,1.744792,1.744792,0.150926,261600
1962-01-23,1.744792,1.760417,1.708333,1.708333,0.147772,223200
1962-01-24,1.708333,1.708333,1.666667,1.697917,0.146871,120000
1962-01-25,1.697917,1.723958,1.692708,1.708333,0.147772,151200
1962-01-26,1.708333,1.723958,1.687500,1.708333,0.147772,108000
1962-01-29,1.708333,1.723958,1.703125,1.723958,0.149124,122400
1962-01-30,1.718750,1.718750,1.692708,1.697917,0.146871,120000
1962-01-31,1.697917,1.723958,1.697917,1.708333,0.147772,189600
1962-02-01,1.708333,1.750000,1.708333,1.739583,0.150476,112800
1962-02-02,1.739583,1.744792,1.723958,1.729167,0.149574,199200
1962-02-05,1.729167,1.734375,1.723958,1.723958,0.149124,96000
1962-02-06,1.729167,1.744792,1.729167,1.734375,0.150025,105600
1962-02-07,1.734375,1.744792,1.713542,1.713542,0.148223,122400
1962-02-08,1.713542,1.718750,1.713542,1.713542,0.148223,141600
1962-02-09,1.713542,1.718750,1.692708,1.692708,0.146421,115200
1962-02-12,1.692708,1.697917,1.671875,1.697917,0.146871,98400
1962-02-13,1.697917,1.703125,1.682292,1.692708,0.146421,86400
1962-02-14,1.692708,1.692708,1.666667,1.677083,0.145069,177600
1962-02-15,1.671875,1.671875,1.645833,1.666667,0.144168,60000
1962-02-16,1.666667,1.687500,1.635417,1.677083,0.145069,88800
1962-02-19,1.677083,1.692708,1.661458,1.677083,0.145069,170400
1962-02-20,1.677083,1.682292,1.666667,1.671875,0.144619,67200
1962-02-21,1.671875,1.671875,1.625000,1.635417,0.141465,98400
1962-02-23,1.635417,1.656250,1.625000,1.635417,0.141465,96000
1962-02-26,1.666667,1.697917,1.666667,1.697917,0.146871,158400
1962-02-27,1.697917,1.708333,1.677083,1.682292,0.145520,117600
1962-02-28,1.682292,1.703125,1.666667,1.682292,0.145520,139200
1962-03-01,1.682292,1.703125,1.682292,1.682292,0.145520,74400
1962-03-02,1.682292,1.687500,1.666667,1.687500,0.145970,105600
1962-03-05,1.687500,1.692708,1.666667,1.687500,0.145970,79200
1962-03-06,1.687500,1.703125,1.666667,1.677083,0.145069,98400
1962-03-07,1.677083,1.677083,1.645833,1.656250,0.143267,172800
1962-03-08,1.656250,1.661458,1.635417,1.640625,0.141916,98400
1962-03-09,1.640625,1.645833,1.635417,1.635417,0.141465,86400
1962-03-12,1.635417,1.640625,1.614583,1.614583,0.139663,96000
1962-03-13,1.614583,1.635417,1.588542,1.625000,0.140564,141600
1962-03-14,1.630208,1.661458,1.630208,1.661458,0.143718,117600
1962-03-15,1.661458,1.661458,1.635417,1.645833,0.142366,139200
1962-03-16,1.645833,1.661458,1.645833,1.661458,0.143718,79200
1962-03-19,1.661458,1.682292,1.651042,1.661458,0.143718,105600
1962-03-20,1.666667,1.697917,1.666667,1.697917,0.146871,177600
1962-03-21,1.697917,1.703125,1.645833,1.656250,0.143267,232800
1962-03-22,1.666667,1.692708,1.666667,1.682292,0.145520,268800
1962-03-23,1.682292,1.697917,1.671875,1.682292,0.145520,189600
1962-03-26,1.682292,1.687500,1.656250,1.671875,0.144619,124800
1962-03-27,1.671875,1.677083,1.666667,1.671875,0.144619,112800
1962-03-28,1.671875,1.703125,1.671875,1.703125,0.147322,146400
1962-03-29,1.703125,1.703125,1.677083,1.682292,0.145520,91200
1962-03-30,1.682292,1.703125,1.677083,1.703125,0.147322,86400
1962-04-02,1.697917,1.697917,1.661458,1.671875,0.144619,230400
1962-04-03,1.671875,1.692708,1.661458,1.666667,0.144168,168000
1962-04-04,1.666667,1.682292,1.661458,1.671875,0.144619,115200
1962-04-05,1.671875,1.687500,1.666667,1.687500,0.145970,192000
1962-04-06,1.682292,1.682292,1.661458,1.682292,0.145520,148800
1962-04-09,1.682292,1.682292,1.661458,1.661458,0.143718,124800
1962-04-10,1.661458,1.677083,1.651042,1.677083,0.145069,120000
1962-04-11,1.677083,1.692708,1.656250,1.671875,0.144619,182400
1962-04-12,1.661458,1.661458,1.635417,1.656250,0.143267,158400
1962-04-13,1.651042,1.651042,1.614583,1.614583,0.139663,38400
1962-04-16,1.609375,1.609375,1.552083,1.572917,0.136942,129600
1962-04-17,1.578125,1.619792,1.578125,1.593750,0.138756,172800
1962-04-18,1.593750,1.614583,1.583333,1.604167,0.139663,132000
